---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| label                   | hydration | fullness | health | wellness | hydrationCost | fullnessCost | healthCost | wellnessCost | netHydration | netFullness | netHealth | netWellness | cost     |
===================================================================================================================================================================================================
| "Bacon and Eggs"@en     | 0         | 15       | 3      | 1        | 0             | 12           | 2          | 0            | 0            | 15          | 1         | 1           | 17       |
| "Grilled Meat"@en       | -2        | 10       | 2      | 8e-01    | 0             | 10           | 2          | 0            | -2           | 10          | 0         | 0.8e0       | 8.8e0    |
| "Charred Meat"@en       | -5        | 10       | 2      | 8e-01    | 0             | 10           | 2          | 0            | -5           | 10          | 0         | 0.8e0       | 5.8e0    |
| "Baked Potato"@en       | 0         | 4        | 0      | 0        | 0             | 2            | 0          | 0            | 0            | 4           | 0         | 0           | 4        |
| "Antibiotics"@en        | 0         | 0        | 0      | 0        | 0             | 10           | 0          | 0            | 0            | 0           | 0         | 0           | 0        |
| "Herbal Antibiotics"@en | 0         | 0        | 0      | 0        | 2             | 6            | 0          | 0            | -2           | -2          | 0         | 0           | -4       |
| "Corn Meal"@en          | -10       | 2        | 0      | 0        | 0             | 1            | 0          | 0            | -10          | 2           | 0         | 0           | -8       |
| "Boiled Water"@en       | 20        | 0        | 0      | 0        | 15            | 0            | 0          | -1e-01       | 5            | -15         | 0         | 0.1e0       | -9.9e0   |
| "Bottled Water"@en      | 20        | 0        | 0      | 0        | 15            | 0            | 0          | -1e-01       | 5            | -15         | 0         | 0.1e0       | -9.9e0   |
| "Blueberry Pie"@en      | 0         | 10       | 0      | 8e-01    | 11            | 5            | 0          | 0            | -11          | -1          | 0         | 0.8e0       | -11.2e0  |
| "Corn Bread"@en         | 0         | 5        | 0      | 4e-01    | 10            | 2            | 0          | 0            | -10          | -5          | 0         | 0.4e0       | -14.6e0  |
| "Meat Stew"@en          | 0         | 20       | 5      | 1.6e+00  | 20            | 13           | 2          | 0            | -20          | 0           | 3         | 1.6e0       | -15.4e0  |
| "Golden Rod Tea"@en     | 20        | 0        | 0      | 2e-01    | 20            | 0            | 0          | 0            | 0            | -20         | 0         | 0.2e0       | -19.8e0  |
| "Red Tea"@en            | 20        | 0        | 0      | 2e-01    | 20            | 0            | 0          | 0            | 0            | -20         | 0         | 0.2e0       | -19.8e0  |
| "Grain Alcohol"@en      | -5        | 0        | 0      | -5e-01   | 10            | 2            | 0          | 0            | -15          | -10         | 0         | -0.5e0      | -25.5e0  |
| "Boiled Meat"@en        | 0         | 10       | 2      | 8e-01    | 20            | 10           | 2          | 0            | -20          | -10         | 0         | 0.8e0       | -29.2e0  |
| "Vegetable Stew"@en     | 0         | 7        | 5      | 1e-01    | 21            | 8            | 0          | 0            | -21          | -14         | 5         | 0.1e0       | -29.9e0  |
| "Boiled Egg"@en         | 0         | 4        | 0      | 3.2e-01  | 20            | 2            | 0          | 0            | -20          | -16         | 0         | 0.32e0      | -35.68e0 |
| "Corn on the Cob"@en    | 0         | 3        | 0      | 8e-02    | 20            | 1            | 0          | 0            | -20          | -17         | 0         | 0.08e0      | -36.92e0 |
| "Coffee"@en             | -10       | 0        | 0      | -1e-01   | 20            | 0            | 0          | 0            | -30          | -20         | 0         | -0.1e0      | -50.1e0  |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
